0,0.12,-0.189,-0.456,-0.797,-0.588,-0.208,-0.0668,1.49,-0.652
0.5,0.118,0.243,-0.628,-0.668,-0.355,0.0194,0.341,1.49,-0.705
1,0.121,0.219,-0.731,-0.283,-0.455,0.702,0.0962,1.1,-0.736
1.5,0.116,0.203,-0.571,-0.111,-0.123,0.93,0.0351,0.836,-0.547
2,0.118,0.282,-0.456,0.489,0.209,1.39,0.137,1.16,-0.126
2.5,0.109,0.125,-0.571,0.832,0.00996,1.39,0.137,0.509,-0.126
3,0.102,0.0464,-0.685,0.661,-0.0564,1.39,0.137,0.182,0.295
3.5,0.101,-0.267,-0.571,0.832,-0.123,1.84,-0.0668,-0.144,0.716
4,0.0949,-0.267,-0.227,1,-0.322,1.39,0.0351,-0.144,0.821
4.5,0.0939,-0.346,-0.342,1.09,-0.521,1.16,0.239,-0.144,1.03
5,0.0969,-0.424,-0.112,1,-0.72,1.39,0.341,-0.471,0.821
5.5,0.0969,-0.267,0.117,1.35,-0.588,1.84,-0.0668,-0.471,0.716
6,0.119,-0.346,0.231,1.35,-0.521,2.07,0.0351,0.509,0.716
6.5,0.119,-0.267,0.117,1.6,-0.322,1.61,0.239,1.16,0.4
7,0.111,-0.424,-0.112,1.26,0.143,1.84,0.239,1.16,0.19
7.5,0.11,-0.424,-0.112,1.09,0.0764,1.84,0.239,1.16,-0.231
8,0.111,-0.267,-0.342,1.18,0.674,1.61,0.341,1.49,0.19
8.5,0.11,-0.424,-0.685,0.575,0.74,1.39,0.545,1.49,0.295
9,0.104,-0.424,-0.227,0.747,0.674,0.93,0.443,0.509,0.0846
9.5,0.0908,-0.581,-0.227,0.404,0.209,0.702,0.341,-0.144,0.0846
10,0.0978,-0.424,0.00229,0.575,0.408,0.475,0.137,-0.144,0.19
10.5,0.0918,-0.11,0.231,1,0.674,0.247,0.0351,-0.144,0.611
11,0.0958,0.596,0.461,0.661,0.408,-0.208,-0.271,0.509,0.19
11.5,0.0978,0.91,0.575,0.747,0.475,-0.436,-0.373,0.836,-0.0206
12,0.0948,1.69,0.117,1.09,0.342,-0.208,-0.474,1.16,-0.126
12.5,0.103,2.4,0.461,1,0.276,0.0194,-0.78,1.49,-0.231
13,0.109,2.87,0.346,0.832,-0.256,-0.208,-0.576,1.82,-0.0206
13.5,0.113,3.03,0.346,0.232,-0.654,-0.208,-0.678,2.47,-0.442
14,0.11,2.71,0.231,0.404,-0.521,0.0194,-0.0668,2.47,-0.442
14.5,0.113,2.48,0.575,0.146,-0.521,0.247,-0.0668,2.14,-0.442
15,0.11,2.16,0.575,-0.283,-0.654,0.0194,-0.0668,1.82,-0.652
15.5,0.111,1.77,0.461,-0.197,-0.455,-0.208,0.137,1.49,-0.442
16,0.107,1.69,0.461,-0.0252,-0.322,-0.208,0.239,1.16,-0.231
16.5,0.108,1.22,0.575,0.404,-0.0564,0.0194,0.341,1.49,-0.126
17,0.0997,0.91,0.919,0.489,-0.521,0.247,-0.0668,1.49,-0.0206
17.5,0.101,0.91,1.03,0.747,-0.256,0.247,0.341,1.49,0.19
18,0.103,0.517,1.15,0.918,-0.0564,0.475,0.443,1.49,0.19
18.5,0.112,0.282,1.15,1.09,-0.123,0.93,0.239,1.82,0.4
19,0.112,-0.189,1.03,0.747,0.0764,1.39,0.137,2.14,0.0846
19.5,0.125,0.0464,0.575,0.489,0.143,1.16,-0.169,1.49,0.295
20,0.117,-0.11,0.117,0.832,0.674,0.702,-0.169,0.836,0.506
20.5,0.121,-0.032,-0.456,0.575,0.408,0.475,-0.373,0.836,0.506
21,0.113,0.125,-0.456,0.489,0.276,0.247,-0.576,0.836,0.611
21.5,0.102,0.125,-0.685,0.404,0.276,0.0194,-0.576,0.836,0.506
22,0.104,0.282,-0.571,0.575,0.408,0.247,-0.678,0.836,0.506
22.5,0.108,0.125,-0.456,0.747,0.276,0.247,-0.373,0.836,0.295
23,0.113,0.203,-0.456,0.318,0.00996,1.16,-0.169,0.836,0.4
23.5,0.111,0.36,-0.342,0.661,0.143,1.39,-0.271,0.836,0.19
24,0.11,0.517,-0.456,0.832,0.143,1.61,-0.0668,1.16,0.506
24.5,0.114,0.439,-0.342,1.09,0.475,1.39,0.137,0.836,0.506
25,0.108,0.517,-0.342,1,0.143,1.39,0.341,0.509,0.295
25.5,0.104,0.36,-0.342,1.18,0.00996,1.39,0.341,0.182,0.295
26,0.115,0.831,0.117,1.09,0.276,0.475,0.137,0.182,0.0846
26.5,0.108,1.07,0.346,1.09,0.0764,0.475,0.239,0.182,-0.0206
27,0.0965,1.07,0.346,0.918,0.0764,0.247,0.0351,-0.144,-0.231
27.5,0.0915,1.3,0.231,0.661,-0.189,0.247,-0.0668,0.182,-0.231
28,0.0984,1.22,0.231,0.661,-0.123,-0.436,-0.271,0.182,-0.0206
28.5,0.0934,1.62,0.346,0.318,-0.322,-0.208,-0.474,0.836,0.506
29,0.0844,1.3,0.117,0.146,-0.787,-0.208,-0.271,1.16,0.0846
29.5,0.0924,0.988,0.00229,0.0606,-0.787,-0.208,-0.576,1.49,0.716
30,0.0974,0.831,0.117,0.0606,-0.654,0.475,-0.474,1.49,0.611
30.5,0.105,0.831,0.231,0.232,-0.72,0.702,-0.271,1.82,0.295
31,0.0984,0.988,0.231,0.318,-0.588,0.702,0.137,1.82,0.716
31.5,0.112,0.831,0.231,0.404,-0.123,0.93,0.443,1.16,0.19
32,0.115,0.753,0.00229,0.661,0.0764,1.16,0.748,0.509,0.4
32.5,0.112,0.596,-0.227,0.661,0.342,1.39,0.748,0.509,0.295
33,0.112,0.36,-0.342,0.575,0.541,0.702,1.05,0.836,0.4
33.5,0.107,0.203,-0.456,0.661,0.807,0.702,0.952,0.509,0.611
34,0.105,-0.189,-0.571,0.747,0.608,0.702,0.85,0.509,0.506
34.5,0.109,-0.346,-0.685,0.747,0.342,0.702,0.646,1.16,0.295
35,0.104,-0.424,-0.571,0.489,0.475,0.475,0.239,1.16,0.506
35.5,0.106,-0.503,-0.571,0.404,0.00996,0.702,0.341,0.836,0.611
36,0.113,-0.267,-0.342,0.661,-0.123,1.39,-0.0668,1.16,0.4
36.5,0.106,-0.189,-0.112,0.489,-0.189,1.61,-0.0668,0.836,0.295
37,0.107,-0.11,0.00229,0.575,0.0764,1.61,-0.169,1.16,-0.0206
37.5,0.11,-0.189,0.117,1.18,0.276,1.39,-0.0668,0.836,0.0846
38,0.107,-0.346,0.117,1.6,0.276,1.84,-0.271,1.16,-0.126
38.5,0.107,-0.189,0.231,1.69,0.74,1.39,-0.0668,1.16,-0.231
39,0.115,-0.346,0.231,1.35,0.674,1.16,0.137,0.509,0.295
39.5,0.109,-0.11,0.461,1.35,1.14,0.93,0.239,0.509,0.4
40,0.116,-0.032,0.461,0.918,0.94,0.93,0.0351,1.16,0.4
40.5,0.106,0.125,0.346,0.318,0.74,1.39,-0.0668,0.836,0.611
41,0.111,0.596,0.231,0.0606,0.74,0.93,0.0351,0.509,0.716
41.5,0.115,0.674,0.231,-0.197,0.807,1.16,-0.271,0.836,0.506
42,0.116,0.674,0.117,-0.0252,0.74,1.16,-0.373,1.49,0.295
42.5,0.118,0.282,-0.227,-0.111,0.143,1.16,-0.474,1.82,0.4
43,0.117,0.282,-0.227,-0.111,0.209,1.61,-0.169,1.16,0.295
43.5,0.118,0.282,0.00229,-0.54,0.674,1.16,-0.0668,1.49,0.19
44,0.114,-0.189,0.231,-0.711,0.74,1.39,0.0351,1.82,-0.126
44.5,0.12,-0.267,0.346,-0.626,0.408,1.16,0.239,2.14,-0.442
45,0.119,-0.11,0.346,-0.626,0.74,0.702,0.341,1.49,-0.652
45.5,0.114,-0.032,0.231,-0.969,0.74,0.93,0.341,1.16,-0.757
46,0.118,-0.11,0.00229,-0.711,0.541,0.93,0.137,0.836,-0.547
46.5,0.125,-0.267,-0.227,0.146,0.209,1.16,0.137,0.836,-0.442
47,0.118,-0.189,-0.571,0.832,0.143,1.61,0.0351,0.509,-0.126
47.5,0.112,-0.267,-0.8,1,0.00996,2.07,-0.0668,0.182,0.295
48,0.12,-0.503,-0.685,1,-0.388,2.75,-0.0668,0.836,0.4
48.5,0.116,-0.581,-0.571,1,-0.388,2.3,-0.271,0.836,0.19
49,0.119,-0.66,-0.456,1.52,0.143,2.52,-0.271,0.836,0.506
49.5,0.12,-0.581,-0.571,1,0.342,2.07,-0.271,0.836,0.506
50,0.119,-0.66,-0.456,0.489,0.342,1.84,-0.373,0.836,0.716
50.5,0.113,-0.738,-0.112,0.489,0.674,1.39,-0.373,0.836,0.716
51,0.118,-0.66,-0.342,0.918,0.94,1.16,-0.373,0.509,1.14
51.5,0.109,-0.503,-0.112,1.18,1.27,1.39,-0.169,0.836,1.24
