0,0.3,-0.510061986,-0.418101449,0.515739047,-0.315650317,-0.505338172,0.21185171,0.558627654,1.078727601,0.590543041,1.055759745,-0.525899821,0.041252286,-0.234870558,-0.079951769,-0.689185433,-0.129043067,1.180667857,0.165747301,-0.45397871
0.5,0.297015999143055,-0.510061986,0.415373712,0.515739047,-0.315650317,-0.150252125,1.200273371,1.058965902,0.683009479,0.724180299,1.207266511,-0.525899821,-0.097178205,-0.234870558,0.435496597,-0.689185433,0.096162983,0.997163372,0.561325584,-0.45397871
1,0.29403199828611,-0.510061986,0.551760557,0.375751067,-0.315650317,0.062799504,1.49679987,1.058965902,1.078727601,0.804362653,1.00727758,-0.525899821,0.15199668,-0.234870558,0.194954026,-0.689185433,0.501533874,1.107266063,0.798672554,-0.45397871
1.5,0.299047997429165,-0.510061986,0.794226058,0.632395696,-0.315650317,0.306287079,1.282641843,0.808796778,1.342539683,0.679634546,1.29817057,-0.525899821,0.041252286,-0.234870558,0.378224556,-0.689185433,0.546575084,0.997163372,1.352482151,-0.45397871
2,0.29406399657222,-0.241749526,0.945766997,1.099022293,-0.315650317,0.509193392,1.612115731,0.808796778,1.606351764,0.813271804,1.540581395,-0.525899821,0.041252286,-0.234870558,0.836400882,-0.689185433,0.546575084,1.180667857,1.550271293,-0.45397871
2.5,0.288079995715275,-0.241749526,1.097307935,0.924037319,-0.315650317,0.813552861,1.365010315,0.558627654,1.342539683,0.768726051,1.055759745,-0.525899821,0.871835236,-0.234870558,0.7218568,-0.487787001,0.546575084,0.630154402,1.352482151,-0.45397871
3,0.29109599485833,-0.241749526,1.400389812,0.80738067,-0.315650317,1.016459174,1.694484202,0.558627654,0.81491552,0.590543041,1.116362452,-0.525899821,0.594974253,-0.234870558,0.950944963,-0.28638857,0.321369034,0.446649917,1.550271293,-0.45397871
3.5,0.290111994001385,-0.241749526,0.945766997,0.865708994,-0.315650317,1.11791233,0.870799484,0.30845853,0.81491552,0.724180299,1.055759745,-0.525899821,0.871835236,-0.234870558,0.836400882,0.116408293,0.321369034,0.446649917,1.352482151,-0.45397871
4,0.29112799314444,0.026562933,1.248848873,1.157350618,-0.315650317,0.813552861,0.788431012,0.058289406,0.287291357,0.590543041,1.116362452,-0.525899821,0.594974253,-0.234870558,0.950944963,0.317806725,-0.129043067,0.263145432,1.15469301,-0.45397871
4.5,0.287143992287495,0.026562933,0.945766997,0.982365644,-0.315650317,0.712099705,1.035536428,0.808796778,-0.240332806,0.813271804,0.81334892,-0.525899821,0.594974253,-0.234870558,0.950944963,0.519205156,-0.129043067,0.079640947,0.561325584,-0.45397871
